Name/Team/Height(inches)/Weight(lbs)/Age
Adam Donachie/BAL/74/180/22.99
Paul Bako/BAL/74/215/34.69
Ramon Hernandez/BAL/72/210/30.78
Kevin Millar/BAL/72/210/35.43
Chris Gomez/BAL/73/188/35.71
Brian Roberts/BAL/69/176/29.39
Miguel Tejada/BAL/69/209/30.77
Melvin Mora/BAL/71/200/35.07
Aubrey Huff/BAL/76/231/30.19
Adam Stern/BAL/71/180/27.05
Jeff Fiorentino/BAL/73/188/23.88
Freddie Bynum/BAL/73/180/26.96
Nick Markakis/BAL/74/185/23.29
Brandon Fahey/BAL/74/160/26.11
Corey Patterson/BAL/69/180/27.55
Jay Payton/BAL/70/185/34.27
Jay Gibbons/BAL/72/197/30
Erik Bedard/BAL/73/189/27.99
Hayden Penn/BAL/75/185/22.38
Adam Loewen/BAL/78/219/22.89
Daniel Cabrera/BAL/79/230/25.76
Steve Trachsel/BAL/76/205/36.33
Jaret Wright/BAL/74/230/31.17
Kris Benson/BAL/76/195/32.31
Scott Williamson/BAL/72/180/31.03
John Parrish/BAL/71/192/29.26
Danys Baez/BAL/75/225/29.47
Chad Bradford/BAL/77/203/32.46
Jamie Walker/BAL/74/195/35.67
Brian Burres/BAL/73/182/25.89
Kurt Birkins/BAL/74/188/26.55
James Hoey/BAL/78/200/24.17
Sendy Rleal/BAL/73/180/26.69
Chris Ray/BAL/75/200/25.13
Jeremy Guthrie/BAL/73/200/27.9
A.J. Pierzynski/CWS/75/245/30.17
Toby Hall/CWS/75/240/31.36
Paul Konerko/CWS/74/215/30.99
Tadahito Iguchi/CWS/69/185/32.24
Juan Uribe/CWS/71/175/27.61
Alex Cintron/CWS/74/199/28.2
Joe Crede/CWS/73/200/28.85
Josh Fields/CWS/73/215/24.21
Ryan Sweeney/CWS/76/200/22.02
Brian N. Anderson/CWS/74/205/24.97
Luis Terrero/CWS/74/206/26.78
Pablo Ozuna/CWS/70/186/32.51
Scott Podsednik/CWS/72/188/30.95
Jermaine Dye/CWS/77/220/33.09
Darin Erstad/CWS/74/210/32.74
Rob Mackowiak/CWS/70/195/30.69
Jim Thome/CWS/76/244/36.51
Jerry Owens/CWS/75/195/26.03
Charlie Haeger/CWS/73/200/23.45
Heath Phillips/CWS/75/200/24.94
Gavin Floyd/CWS/76/212/24.09
Jose Contreras/CWS/76/224/35.23
Jon Garland/CWS/78/210/27.43
Javier Vazquez/CWS/74/205/30.6
Mark Buehrle/CWS/74/220/27.94
Mike MacDougal/CWS/76/195/29.99
David Aardsma/CWS/77/200/25.17
Andrew Sisco/CWS/81/260/24.13
Matt Thornton/CWS/78/228/30.46
Bobby Jenks/CWS/75/270/25.96
Boone Logan/CWS/77/200/22.55
Sean Tracey/CWS/75/210/26.29
Nick Masset/CWS/76/190/24.79
Jose Molina/ANA/74/220/31.74
Jeff Mathis/ANA/72/180/23.92
Mike Napoli/ANA/72/205/25.33
Casey Kotchman/ANA/75/210/24.02
Kendry Morales/ANA/73/220/23.7
Shea Hillenbrand/ANA/73/211/31.59
Robb Quinlan/ANA/73/200/29.95
Howie Kendrick/ANA/70/180/23.64
Orlando Cabrera/ANA/70/190/32.33
Erick Aybar/ANA/70/170/23.13
Dallas McPherson/ANA/76/230/26.6
Maicer Izturis/ANA/68/155/26.46
Reggie Willits/ANA/71/185/25.75
Tommy Murphy/ANA/72/185/27.51
Terry Evans/ANA/75/200/25.11
Gary Matthews Jr./ANA/75/225/32.51
Garret Anderson/ANA/75/225/34.67
Vladimir Guerrero/ANA/75/220/31.06
Chone Figgins/ANA/68/160/29.1
Juan Rivera/ANA/74/205/28.66
John Lackey/ANA/78/235/28.35
Bartolo Colon/ANA/71/250/33.77
Kelvim Escobar/ANA/73/210/30.89
Dustin Moseley/ANA/76/190/37.74
Ervin Santana/ANA/74/160/24.14
Joe Saunders/ANA/74/200/25.71
Jered Weaver/ANA/79/205/24.41
Chris Resop/ANA/75/222/24.32
Phil Seibel/ANA/73/195/28.09
Justin Speier/ANA/76/205/33.31
Darren Oliver/ANA/74/220/36.4
Hector Carrasco/ANA/74/220/37.36
Scot Shields/ANA/73/170/31.61
Francisco Rodriguez/ANA/72/185/25.14
Greg Jones/ANA/74/195/30.29
Doug Mirabelli/BOS/73/220/36.37
Jason Varitek/BOS/74/230/34.89
George Kottaras/BOS/72/180/23.79
Kevin Youkilis/BOS/73/220/27.96
Dustin Pedroia/BOS/69/180/23.54
Alex Cora/BOS/72/180/31.37
Julio Lugo/BOS/73/170/31.29
Mike Lowell/BOS/75/210/33.01
Wily Mo Pe?a/BOS/75/215/25.1
J.D. Drew/BOS/73/200/31.28
